rGDP;CPI;rM2;REER;rCREDIT;rNX
830,0696861;0,085868831;414,9672474;43,43;4685,209532;104593,6643
934,1793002;0,062098016;439,9924584;45,3;4613,074978;124804,658
1096,40795;0,040355976;475,9122978;51,5;4594,526794;162407,6349
1110,869454;0,045454764;490,7624586;48,86;4468,067518;238450,4568
1121,379716;0,037330453;520,9632189;47,68;4930,805274;266037,0332
1200,793231;0,0524023;567,9647322;49,84;4710,032793;288744,7769
1370,457864;0,049581112;639,2145623;54,83;4445,467271;276372,402
1309,489597;0,066444092;651,2431811;59,81;4265,101415;262296,4567
1142,072032;0,056134911;657,9520114;59,42;4031,94747;230266,7417
1197,496679;0,023322287;696,8217151;64,21;3836,004395;193334,3198
1383,046163;0,029658467;745,4267946;67,11;3823,213922;188253,1647
1322,670488;0,058397513;784,9103903;65,45;3818,697569;129337,9261
1153,971359;0,036113079;558,6250183;67,79;3704,921406;138099,1174
1244,949604;0,018339189;603,0593869;67,66;3650,046849;164976,8161
1456,592828;0,029862782;648,2811306;64,41;3696,446406;189589,397
1420,959097;0,054923386;682,4837123;65,36;3686,548111;170002,7874
1268,761504;0,030898569;487,3270132;64,86;3602,364803;201994,4065
1338,904692;0,013506382;528,7512468;67,4;3550,743549;165272,4709
1533,392806;0,021113047;571,1111942;68,69;3587,07151;188479,9781
1524,625744;0,037563295;606,3943149;67,7;3638,923565;188962,8344
1413,325831;0,025946367;1292,097368;69,61;3580,095836;199307,313
1556,243577;0,021228819;1364,982281;73,03;3625,585725;217501,7808
1762,711494;0,027128001;1394,699369;72,89;3686,101914;258548,1657
1847,605538;0,050954634;1418,828694;72,89;3687,950468;263303,573
1584,8165;0,031989229;1489,445838;76,05;3762,267035;234657,7688
1748,984192;0,011445189;1579,844117;79,05;3634,474309;286029,0596
1990,509584;0,014442805;1697,840676;81,64;3778,6725;310853,7888
2090,675414;0,046699282;1783,840684;81,81;3798,277856;294020,0758
1857,856886;0,018675294;1873,876833;84,79;3887,857461;329254,7398
2004,862839;0,011767693;2002,353536;88,04;3919,216421;320929,7166
2264,016426;0,010913562;2249,968045;89,68;4082,523408;307393,1666
2302,518111;0,033889358;2391,556496;90,11;4025,290375;207388,3279
2018,607521;0,02083416;2590,401631;91,7;4307,533225;216082,2844
2265,348087;0,020475587;2918,187702;92,31;4446,691607;221368,0569
2544,330274;0,034322331;3121,84918;93,92;5088,353235;214421,2978
2707,005059;0,047423588;3155,912493;95;5378,453581;259478,9809
2341,909116;0,038921855;3406,901198;97,28;5436,444115;314683,8965
2599,656545;0,021233465;3389,186037;98,91;5674,358757;305659,4474
2869,768026;0,023654305;3533,116935;100,82;5898,090929;299287,5997
2579,222741;0,047142014;3283,807352;102,61;6195,378137;162587,0955
1933,2655;0,027090884;2781,311095;90,66;6379,415649;136582,774
2087,829503;0,012124455;2786,63213;89,82;6578,263043;165673,8499
2323,1038;0,003103282;2927,717533;92,46;6110,606589;240612,2747
2406,025634;0,028165974;3086,314562;94,68;6202,10668;245760,5475
2162,564669;0,014653975;3316,83481;96,78;6183,543267;295472,1624
2340,563657;0,014408352;3504,330886;102,38;5976,161158;239422,0262
2540,515467;0,021594744;3642,702055;101,7;6130,073273;184162,723
2726,065786;0,041332077;3724,048332;97,22;6215,393397;223805,3685
2361,980504;0,01505974;3814,91818;103,3;6209,335787;281742,2875
2603,764013;0,001289699;3897,126561;105,94;6147,954433;284039,4342
2864,128468;0,008015748;4049,04859;107,42;6444,02367;244862,9954
3067,141681;0,013797155;4120,723453;98,35;7019,003543;331374,7322
2888,299169;0,01470934;4441,760056;102,14;7313,189547;360080,0531
3088,128095;0,022594247;4485,11367;107,07;7140,691924;270956,3913
3251,138733;0,012719908;4456,139724;104,31;7637,066836;229712,59
3398,86317;0,019415706;4425,242625;105,15;7622,211411;254160,2363
2907,953896;0,015109921;4679,058457;109,27;7903,452128;260335,2552
3068,223842;0,014886345;4789,317715;107,97;8100,027812;230797,4622
3285,100937;0,013095803;4902,95537;105,8;8403,097433;244430,4006
3430,402034;0,019311802;4811,077994;105,43;8693,069593;257014,7675
2902,791537;0,026421548;4984,464238;102,82;8865,976301;274610,1336
3110,670941;0,015865186;4859,084289;98,25;8967,327259;297678,6728
3323,129507;0,030977166;4831,079249;103,79;8910,632984;244803,5232
3404,070141;0,080988266;4632,026841;92,99;9083,54932;256602,9146
2668,720406;0,023054154;4457,735753;68,33;9962,982669;367954,843
2789,237511;0,014734286;4453,431234;88,74;9411,125458;354336,6932
3046,478627;0,020075586;4440,736053;82,61;9123,610676;223080,0818
3109,579752;0,023129442;4363,649034;76,14;9356,425461;269274,0678
2533,546402;0,01355504;4504,368195;66,42;9951,250083;216454,6836
2697,796337;0,009821211;4592,903344;74,5;9554,129986;197599,0962
2916,488475;0,009766964;4668,166908;79,49;9209,213021;152347,1326
3065,567371;0,012273656;4624,553433;82,11;9123,443724;221890,2915
2604,13148;0,009433772;4817,593023;90,31;9035,321784;265034,2613
2766,250184;0,001873037;4853,793056;94,15;8884,750446;177245,9552
3000,880446;0,002055708;4921,417135;86,39;9106,074095;154637,9239
3189,116089;0,009024732;4960,289175;86,99;9232,439468;256131,792
